product_number,name,L_star,a_star,b_star,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,KS_400,KS_410,KS_420,KS_430,KS_440,KS_450,KS_460,KS_470,KS_480,KS_490,KS_500,KS_510,KS_520,KS_530,KS_540,KS_550,KS_560,KS_570,KS_580,KS_590,KS_600,KS_610,KS_620,KS_630,KS_640,KS_650,KS_660,KS_670,KS_680,KS_690,KS_700
1350,Raw Umber,29.2908,1.8799,4.256,4.72,4.76,4.78,4.88,5.0,5.03,5.12,5.07,5.14,5.25,5.29,5.44,5.53,5.65,5.8,5.94,6.1,6.23,6.37,6.47,6.58,6.6,6.68,6.69,6.74,6.78,6.87,6.85,6.85,6.87,6.93,9.6168,9.528,9.4842,9.2703,9.025,8.9655,8.7912,8.8873,8.7533,8.5501,8.4782,8.2184,8.0692,7.8778,7.6497,7.4472,7.2272,7.0568,6.8811,6.7603,6.6317,6.6088,6.5184,6.5073,6.4521,6.4085,6.3124,6.3335,6.3335,6.3124,6.2497
1360,Red Oxide,38.7536,30.3919,21.6795,4.76,4.77,4.81,4.8,4.8,4.78,4.8,4.8,4.82,4.89,4.89,4.98,5.07,5.17,5.4,5.86,7.0,9.39,13.23,17.89,22.13,25.08,26.88,27.99,28.82,29.76,30.9,32.17,33.69,35.4,37.28,9.528,9.506,9.4191,9.4407,9.4407,9.4842,9.4407,9.4407,9.3975,9.2494,9.2494,9.0651,8.8873,8.697,8.2863,7.5617,6.1779,4.3718,2.8454,1.8843,1.37,1.119,0.9945,0.9263,0.879,0.8289,0.7726,0.7151,0.6526,0.5894,0.5276
1461,Sap Green Hue,27.5703,-3.0917,3.1402,4.46,4.43,4.46,4.44,4.49,4.43,4.58,4.83,5.33,5.56,5.5,5.46,5.39,5.38,5.42,5.46,5.52,5.56,5.46,5.28,5.1,4.85,4.72,4.64,4.58,4.54,4.61,4.62,4.66,4.73,4.81,10.2331,10.3088,10.2331,10.2835,10.1583,10.3088,9.9399,9.3761,8.4075,8.0206,8.1184,8.1848,8.3034,8.3206,8.2522,8.1848,8.0856,8.0206,8.1848,8.4961,8.8294,9.3335,9.6168,9.7991,9.9399,10.0359,9.869,9.8456,9.7529,9.5945,9.4191
1468,Terre Verte Hue,35.5669,-6.5735,8.1753,6.28,6.6,6.54,6.41,6.44,6.39,6.46,6.54,6.79,7.17,7.65,8.36,9.33,10.17,10.53,10.4,9.9,9.29,8.74,8.25,7.81,7.37,7.08,6.9,6.83,6.77,6.88,7.1,7.45,7.93,8.51,6.9932,6.6088,6.678,6.8324,6.7962,6.8567,6.7722,6.678,6.3977,6.0094,5.5742,5.0227,4.4057,3.9673,3.801,3.8597,4.1,4.4286,4.7645,5.1019,5.4411,5.8211,6.0975,6.2809,6.3548,6.4194,6.3018,6.0778,5.7487,5.3448,4.918
1370,Titan Buff,85.4117,0.9614,15.2057,25.95,35.29,40.63,44.43,48.19,51.39,54.15,56.19,57.8,58.97,60.23,61.63,63.23,64.66,66.05,67.41,68.72,69.95,71.05,71.97,72.81,73.52,74.12,74.72,75.08,75.62,75.96,76.29,76.56,76.84,77.11,1.0565,0.5933,0.4338,0.3475,0.2785,0.2299,0.1941,0.1708,0.1541,0.1427,0.1313,0.1194,0.1069,0.0966,0.0873,0.0788,0.0712,0.0645,0.059,0.0546,0.0508,0.0477,0.0452,0.0428,0.0414,0.0393,0.038,0.0368,0.0359,0.0349,0.034
1375,Titanate Yellow,89.446,-6.9038,56.8447,7.28,8.46,10.17,12.59,16.15,20.57,26.51,33.11,41.14,48.89,56.78,63.83,70.24,75.76,80.35,83.7,85.85,86.97,87.4,87.08,86.14,84.61,82.59,80.37,78.06,76.05,74.22,72.92,72.0,71.42,70.8,5.9045,4.9525,3.9673,3.0344,2.1767,1.5336,1.0186,0.6757,0.4211,0.2672,0.1645,0.1025,0.063,0.0388,0.024,0.0159,0.0117,0.0098,0.0091,0.0096,0.0112,0.014,0.0184,0.024,0.0308,0.0377,0.0448,0.0503,0.0544,0.0572,0.0602
1383,Transparent Brown Iron Oxide,29.067,3.7177,3.1233,5.08,5.09,5.11,5.14,5.23,5.16,5.24,5.18,5.19,5.21,5.17,5.24,5.25,5.28,5.39,5.58,5.84,6.19,6.51,6.72,6.89,6.91,6.92,6.86,6.8,6.74,6.76,6.68,6.63,6.59,6.61,8.8679,8.8486,8.8103,8.7533,8.5864,8.7157,8.5682,8.6784,8.6599,8.623,8.697,8.5682,8.5501,8.4961,8.3034,7.9885,7.5908,7.1085,6.713,6.4741,6.2913,6.2704,6.26,6.3229,6.3869,6.4521,6.4302,6.5184,6.5746,6.6202,6.5973
1384,Transparent Pyrrole Orange,49.1181,55.1757,41.7381,4.55,4.42,4.37,4.38,4.39,4.34,4.39,4.36,4.43,4.46,4.46,4.5,4.5,4.55,4.9,5.82,7.75,11.35,18.53,30.57,45.05,57.76,67.14,73.25,77.12,79.93,81.78,82.88,83.53,84.05,84.69,10.0118,10.3343,10.4635,10.4374,10.4115,10.5424,10.4115,10.4897,10.3088,10.2331,10.2331,10.1336,10.1336,10.0118,9.2286,7.6202,5.4904,3.462,1.791,0.7884,0.3351,0.1545,0.0804,0.0488,0.0339,0.0252,0.0203,0.0177,0.0162,0.0151,0.0138
1385,Transparent Red Iron Oxide,32.6223,14.9768,9.1323,5.01,5.05,5.09,5.15,5.23,5.18,5.26,5.23,5.27,5.3,5.3,5.34,5.39,5.46,5.62,5.88,6.35,7.1,8.06,9.19,10.49,11.8,13.19,14.48,15.79,17.26,18.93,20.71,22.74,25.0,27.55,9.0051,8.9262,8.8486,8.7345,8.5864,8.6784,8.532,8.5864,8.514,8.4605,8.4605,8.39,8.3034,8.1848,7.9249,7.5328,6.9058,6.0778,5.2438,4.4866,3.8189,3.2963,2.8567,2.5254,2.2455,1.9832,1.736,1.5178,1.3125,1.125,0.9526
1386,Transparent Yellow Iron Oxide,47.7407,16.9336,26.8077,6.34,6.38,6.51,6.75,7.23,7.39,7.32,7.14,7.14,7.32,7.63,8.25,9.2,10.59,12.66,15.41,18.72,21.95,24.39,25.71,26.15,26.02,25.78,25.53,25.53,25.86,26.53,27.46,28.72,30.44,32.65,6.9181,6.8689,6.713,6.4412,5.9518,5.8028,5.8672,6.0385,6.0385,5.8672,5.5912,5.1019,4.4808,3.7744,3.0127,2.3217,1.7645,1.3877,1.172,1.0733,1.0428,1.0517,1.0684,1.0861,1.0861,1.0628,1.0173,0.9581,0.8845,0.7948,0.6946
